rel_path,file_type,parse_status,page_count,parsed_json
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\1. 8000016155-Z20241014208-CI.pdf,CI,success,2,"{""invoice_no"": ""Z20241014208"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""Description"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 5580, ""total_watt"": 3515400, ""total_usd"": 369117.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\1차선적 5580pcs(3.5MW) 10.25선적\2. 8000016155-Z20241014208-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241014208"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 5580}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241012070"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""Description"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476, ""total_watt"": 5806080, ""total_usd"": 609638.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\2.8000012868-CUSTOMS-Z20241012070-2-PL(update).pdf,PL,success,1,"{""invoice_no"": ""Z20241012070"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476, ""pallets"": 360}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\1.8000012866-Z20241012068-2-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241012068"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 2880, ""total_watt"": 7983360, ""total_usd"": 838252.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\2.8000012866-Z20241012068-2-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241012068"", ""lc_no"": ""M12MK2409NU00040"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 2880}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\CI-Z20240910262.PDF,CI,success,1,"{""invoice_no"": ""Z20240910262"", ""pa_no"": ""MCKRJH24Q207"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV""}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\PL-Z20240910262(1).PDF,PL,success,1,"{""invoice_no"": ""Z20240910262"", ""pa_no"": ""MCKRJH24Q207"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""pallets"": 630}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\2 CI_Z20240923125-1 2000166667.pdf,CI,success,1,"{""lc_no"": ""M04NG2409NU00032"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BDV-S""}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\635WP 7920(5MW)09.19\디원 - 징코 635WP 5MW\3 PL_Z20240923125-1 2000166667.pdf,PL,partial,1,"{""country_of_origin"": ""China""}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\1.CI_Z20240914116-1 2000164818.pdf,CI,success,1,"{""lc_no"": ""M12MK2409NU00018"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 15552, ""total_watt"": 9797760, ""total_usd"": 925888.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\1.CI_Z20240914116-1 2000164818.pdf,CI,success,1,"{""lc_no"": ""M12MK2409NU00018"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 15552, ""total_watt"": 9797760, ""total_usd"": 925888.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\2.PL_Z20240914116-1 2000164818.pdf,PL,partial,1,"{""lc_no"": ""M12MK2409NU00018"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S""}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\2.PL_Z20240914116-1 2000164818.pdf,PL,partial,1,"{""lc_no"": ""M12MK2409NU00018"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S""}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\CI 635W 11520pcs SNKO03K250201369.pdf,CI,success,1,"{""invoice_no"": ""Z202502200321"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 11520}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\CI 635W 12096pcs SNKO03K250200547.pdf,CI,success,1,"{""invoice_no"": ""Z202502120182"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 12096}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\PL 635W 11520pcs SNKO03K250201369.pdf,PL,success,1,"{""invoice_no"": ""Z202502200321"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 11520, ""pallets"": 635}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\PL 635W 12096pcs SNKO03K250200547.pdf,PL,success,1,"{""invoice_no"": ""Z202502120182"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 12096, ""pallets"": 635}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201370_BL DRAFT.pdf,BL,success,2,"{""lc_no"": ""M12MK2502NU00032"", ""containers"": [{""container"": ""SKHU6442106"", ""seal"": ""SKNGB015556"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447514"", ""seal"": ""SKNGB015687"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441250"", ""seal"": ""SKNGB015558"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447258"", ""seal"": ""SKNGB015573"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441389"", ""seal"": ""858762"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6443205"", ""seal"": ""SKNGB015686"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6451197"", ""seal"": ""SKNGB015570"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447200"", ""seal"": ""SKNGB015579"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447108"", ""seal"": ""SKNGB015689"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447094"", ""seal"": ""SKNGB021759"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447155"", ""seal"": ""SKNGB015685"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447140"", ""seal"": ""SKNGB015690"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447176"", ""seal"": ""SKNGB015575"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447113"", ""seal"": ""SKNGB015577"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447134"", ""seal"": ""SKNGB015683"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6446837"", ""seal"": ""SKNGB015733"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6446729"", ""seal"": ""SKNGB015740"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447197"", ""seal"": ""SKNGB015580"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447237"", ""seal"": ""SKNGB015578"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447263"", ""seal"": ""SKNGB015566"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}], ""container_count"": 20, ""total_pallets"": 320}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201371_BL DRAFT.pdf,BL,success,2,"{""lc_no"": ""M12MK2502NU00032"", ""containers"": [{""container"": ""SKHU6447160"", ""seal"": ""SKNGB015574"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447411"", ""seal"": ""SKNGB015682"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6443210"", ""seal"": ""SKNGB015684"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6446781"", ""seal"": ""SKNGB015731"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447221"", ""seal"": ""SKNGB015572"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447710"", ""seal"": ""SKNGB015564"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441347"", ""seal"": ""SKNGB015560"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447181"", ""seal"": ""SKNGB015576"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441429"", ""seal"": ""SKNGB015559"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441413"", ""seal"": ""SKNGB015552"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6451108"", ""seal"": ""SKNGB015567"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441326"", ""seal"": ""SKNGB015554"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447730"", ""seal"": ""SKNGB015562"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6441861"", ""seal"": ""SKNGB015561"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""BMOU5203131"", ""seal"": ""SKNGB015648"", ""iso"": ""45G1"", ""pallets"": 15, ""kgs"": 19290.0, ""cbm"": 54.0}, {""container"": ""SKHU6443587"", ""seal"": ""SKNGB015555"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447129"", ""seal"": ""SKNGB015681"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6451089"", ""seal"": ""SKNGB015568"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447746"", ""seal"": ""SKNGB015563"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6447242"", ""seal"": ""SKNGB015571"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}, {""container"": ""SKHU6451176"", ""seal"": ""SKNGB015569"", ""iso"": ""45G1"", ""pallets"": 16, ""kgs"": 20576.0, ""cbm"": 57.6}], ""container_count"": 21, ""total_pallets"": 335}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121182 SNKO03K250201370.pdf,CI,success,1,"{""invoice_no"": ""Z202502200323"", ""lc_no"": ""M12MK2502NU00032"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4"", ""qty_pc"": 11520, ""total_watt"": 7315200, ""unit_price_usd_wp"": 0.085, ""total_usd"": 621792.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121183 SNKO03K250201371.pdf,CI,success,1,"{""invoice_no"": ""Z202502200324"", ""lc_no"": ""M12MK2502NU00032"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BDV-S"", ""qty_pc"": 12060, ""total_watt"": 7658100, ""unit_price_usd_wp"": 0.085, ""total_usd"": 65093.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121182 SNKO03K250201370.pdf,PL,success,1,"{""invoice_no"": ""Z202502200323"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 11520, ""pallets"": 635}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121183 SNKO03K250201371.pdf,PL,success,1,"{""invoice_no"": ""Z202502200324"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 12060, ""pallets"": 635}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025152"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025152"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025152"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025153"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": "") CHINA"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 12888, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025153"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 12888, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025153"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 12888}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025156"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025156"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 1476, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025156"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025154"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025154"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025154"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025157"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025157"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
