filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
KDB_SWIFT발신_21994769_20260430133009  디원 어멘드.pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/KDB_SWIFT발신_21994769_20260430133009  디원 어멘드.pdf,False,,2026-03-05,2026-06-04,,,,,,,,,,
탑솔라-론지솔라 615WP LC개설 전문(국민은행 2026.03.12).pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/탑솔라-론지솔라 615WP LC개설 전문(국민은행 2026.03.12).pdf,False,,,,,,,,,,,,,
론지모듈 (645WP 1.9MW  650WP 3.1MW) LC개설 전문 2025.08.19.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 1.9MW  650WP 3.1MW) LC개설 전문 2025.08.19.pdf",False,,,,,,,,,,,,,
론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19- 수정.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19- 수정.pdf",False,,,,,,,,,,,,,
론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19.pdf",False,,,,,,,,,,,,,
"론지모듈 640WP, 645WP, 620WP 개설 가전문(2025.07.22).pdf","2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 가전문(2025.07.22).pdf",False,,,,,,,,,,,,,
"론지모듈 640WP, 645WP, 620WP 개설 전문(2025.07.22).pdf","2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 전문(2025.07.22).pdf",False,,,,,,,,,,,,,
디원- 징코모듈 개설 전문(산업은행 2025.08.29)-18MW.pdf,2025년 모듈 발주/징코모듈/디원/디원- 징코모듈 개설 전문(산업은행 2025.08.29)-18MW.pdf,False,,,,,,,,,,,,,
탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,2025년 모듈 발주/징코모듈/디원/탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/디원/탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,False,,,,,,,,,,,,,
화신이엔지-징코솔라 LC 가전문(2025.12.04).pdf,2025년 모듈 발주/징코모듈/화신이엔지/화신이엔지-징코솔라 LC 가전문(2025.12.04).pdf,False,,,,,,,,,,,,,
디원- 징코모듈 개설 전문(산업은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/디원- 징코모듈 개설 전문(산업은행 2025.08.29).pdf,False,,,,,,,,,,,,,
"디원_가전문(USD1,288,481.04) 징코솔라.pdf","2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/디원_가전문(USD1,288,481.04) 징코솔라.pdf",True,M0215508NU00267,2025-08-29,2025-11-23,1288481.04,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모둘 -하나은행 LC개설 가전문(2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/징코모둘 -하나은행 LC개설 가전문(2025.08.29).pdf,False,,,,,,,,,,,,,
탑솔라 가전문 -징코솔라.pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라 가전문 -징코솔라.pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,False,,,,,,,,,,,,,
디원 LC개설 가전문.pdf,2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 가전문.pdf,False,,,,,,,,,,,,,
디원 LC개설 전문 - 기업은행(2025.07.22).pdf,2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 전문 - 기업은행(2025.07.22).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21994769_20250721154845(디원-산업은행 2025.07.21).pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/KDB_SWIFT발신_21994769_20250721154845(디원-산업은행 2025.07.21).pdf,True,M0215507NU00356,2025-07-21,2025-11-05,999073.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21994769_20251117170215.pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/KDB_SWIFT발신_21994769_20251117170215.pdf,False,,2025-08-29,2026-02-01,,,,,,,,,,
디원  산업은행LC가전문(25.07.21).pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/디원  산업은행LC가전문(25.07.21).pdf,True,M0215507NU00356,2025-07-21,2025-11-05,999073.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모듈 20MW 개설 전문(2025.03.14).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코모듈 20MW 개설 전문(2025.03.14).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20250718155945.pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/KDB_SWIFT발신_21992407_20250718155945.pdf,True,M0215507NU00331,2025-07-18,2025-10-07,1746595.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
LC가전문(25.07.18).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/LC가전문(25.07.18).pdf,True,M0215507NU00331,2025-07-18,2025-10-07,1746595.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라 신한은행 LC 가전문(2025.06.19).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/30MW 2025.06.20  신한은행/탑솔라 신한은행 LC 가전문(2025.06.19).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20250619171627.pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/KDB_SWIFT발신_21992407_20250619171627.pdf,True,M0215506NU00370,2025-06-19,2025-09-04,2438430.48,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
LC가전문(25.06.19).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/LC가전문(25.06.19).pdf,True,M0215506NU00370,2025-06-19,2025-09-04,2438430.48,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20250829152933.pdf,2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/1차 60MW 개설 2025.08.29/KDB_SWIFT발신_21992407_20250829152933.pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20251127135646.pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/3차 52MW 개설 2025.11.27(국민,산업)/KDB_SWIFT발신_21992407_20251127135646.pdf",True,M0215511NU00388,2025-11-27,2026-02-01,2552551.03,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 LC 개설 가전문(국민은행 2025.11.27).pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/3차 52MW 개설 2025.11.27(국민,산업)/탑솔라-징코솔라 LC 개설 가전문(국민은행 2025.11.27).pdf",False,,,,,,,,,,,,,
탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/3차 52MW 개설 2025.11.27(국민,산업)/탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf",True,M0215511NU00388,2025-11-27,2026-02-01,2552551.03,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 17,532pcs  SELYIT256012/탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf",True,M0215511NU00388,2025-11-27,2026-02-01,2552551.03,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_30765961_20251120150933(화신이엔지 산업은행 전문)2025.11.20.pdf,2025년 모듈 발주/징코모듈/화신이엔지/1차개설 13.5MW 산업은행(2025.11.20)/KDB_SWIFT발신_30765961_20251120150933(화신이엔지 산업은행 전문)2025.11.20.pdf,True,M0215511NU00274,2025-11-20,2026-02-01,1214718.3,USD,KODBKRSE,산업은행,90,B/L_DATE,"HWASIN ENG CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
LC_가전문(25.11.20) 징코-화신이엔지.pdf,2025년 모듈 발주/징코모듈/화신이엔지/1차개설 13.5MW 산업은행(2025.11.20)/LC_가전문(25.11.20) 징코-화신이엔지.pdf,True,M0215511NU00274,2025-11-20,2026-02-01,1214718.3,USD,KODBKRSE,산업은행,90,B/L_DATE,"HWASIN ENG CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
화신이엔지-징코솔라  LC개설 전문 수정본(2025.12.05).pdf,2025년 모듈 발주/징코모듈/화신이엔지/2차 개설 26.5MW 국민은행(2025.12.05)/화신이엔지-징코솔라  LC개설 전문 수정본(2025.12.05).pdf,False,,,,,,,,,,,,,
트리나모듈 개설 가전문 - Topsolar 2025.08.21 - 수정본.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/트리나모듈 개설 가전문 - Topsolar 2025.08.21 - 수정본.pdf,False,,,,,,,,,,,,,
트리나모듈 개설 전문 - Topsolar 2025.08.21.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/트리나모듈 개설 전문 - Topsolar 2025.08.21.pdf,False,,,,,,,,,,,,,
탑솔라-트리나솔라에너지 LC개설 가전문(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/탑솔라-트리나솔라에너지 LC개설 가전문(하나은행 2025.11.28).pdf,False,,,,,,,,,,,,,
탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,False,,,,,,,,,,,,,
트리나모듈 710WP 30MW 개설 가전문(2025.09.18)-수정.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 710WP 30MW 개설 가전문(2025.09.18)-수정.pdf,False,,,,,,,,,,,,,
트리나모듈 710WP 30MW 개설 전문(2025.09.18).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 710WP 30MW 개설 전문(2025.09.18).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20260421093621  -  15MW.pdf,2026년 모듈 발주/라이젠에너지/라이젠 30MW 진행건/KDB_SWIFT발신_21992407_20260421093621  -  15MW.pdf,True,M0215604NU00160,2026-04-20,2026-05-30,1880518.46,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","RISEN ENERGY CO., LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-론지솔라 경량모듈 LC개설 전문(국민은행 2026.02.20).pdf,2026년 모듈 발주/론지솔라/탑솔라/경량모듈 20MW/탑솔라-론지솔라 경량모듈 LC개설 전문(국민은행 2026.02.20).pdf,False,,,,,,,,,,,,,
탑솔라-론지솔라 경량모듈 LC개설 전문(신한은행 2026.02.20).pdf,2026년 모듈 발주/론지솔라/탑솔라/경량모듈 20MW/탑솔라-론지솔라 경량모듈 LC개설 전문(신한은행 2026.02.20).pdf,False,,,,,,,,,,,,,
징코솔라 635WP 18701pcs 산업은행(2026.02.02) LC개설 전문.pdf,2026년 모듈 발주/징코솔라/산업은행 635 BDV-S1 18701pcs/징코솔라 635WP 18701pcs 산업은행(2026.02.02) LC개설 전문.pdf,True,M0215602NU00096,2026-02-02,2026-05-08,1240951.61,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라 수입신용장 개설건(산업은행)-가전문 2026.02.02.pdf,2026년 모듈 발주/징코솔라/산업은행 635 BDV-S1 18701pcs/탑솔라 수입신용장 개설건(산업은행)-가전문 2026.02.02.pdf,True,M0215602NU00096,2026-02-02,2026-05-08,1240951.61,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20260130165548.pdf,2026년 모듈 발주/징코솔라/산업은행 640WP 78336pcs+440pcs  2026.01.30/KDB_SWIFT발신_21992407_20260130165548.pdf,True,M0215601NU00324,2026-01-30,2026-04-20,5334368.26,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라_700_가전문(산업은행).pdf,2026년 모듈 발주/징코솔라/산업은행 640WP 78336pcs+440pcs  2026.01.30/탑솔라_700_가전문(산업은행).pdf,True,M0215601NU00324,2026-01-30,2026-04-20,5334368.26,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라_700_가전문(하나은행).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S 48068pcs+3492pcs  2026.01.30/탑솔라_700_가전문(하나은행).pdf,False,,,,,,,,,,,,,
취소불능화환신용장 개설 가전문(하나은행 2025.02.02).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S1 71543pcs/취소불능화환신용장 개설 가전문(하나은행 2025.02.02).pdf,False,,,,,,,,,,,,,
취소불능화환신용장 개설 전문(하나은행 2025.02.02).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S1 71543pcs/취소불능화환신용장 개설 전문(하나은행 2025.02.02).pdf,False,,,,,,,,,,,,,
